Student Name,Operating System,Computer Networks,DBMS,DSA,LR,Maths,Study_Time,English_Score,Course Needed
Student 1,98,98,66,67,71,74,4,76,0
Student 2,93,64,90,68,94,95,3,51,0
Student 3,78,53,100,88,53,51,4,99,1
Student 4,94,74,86,54,67,93,2,84,0
Student 5,90,53,88,78,85,58,4,92,0
Student 6,73,95,50,96,57,81,2,95,1
Student 7,84,86,62,79,93,62,6,69,0
Student 8,96,95,53,72,55,74,3,75,1
Student 9,68,64,82,78,92,67,4,80,0
Student 10,74,51,59,74,52,92,5,88,1
Student 11,65,53,62,75,71,99,1,76,1
Student 12,99,85,91,67,61,75,2,72,0
Student 13,76,72,92,77,83,79,5,83,1
Student 14,95,52,92,83,93,84,7,53,0
Student 15,55,54,52,90,63,62,5,79,1
Student 16,58,99,85,64,98,91,2,52,0
Student 17,95,70,58,52,89,61,7,56,1
Student 18,84,84,62,75,87,56,3,53,1
Student 19,63,99,58,97,96,99,7,94,0
Student 20,87,51,96,82,89,59,8,97,1
Student 21,52,60,71,79,76,85,7,76,1
Student 22,80,82,58,66,92,68,8,60,0
Student 23,95,92,61,89,98,54,7,99,0
Student 24,97,76,97,53,87,84,2,55,0
Student 25,93,92,78,91,67,91,3,87,0
Student 26,84,52,84,64,72,96,6,68,1
Student 27,69,64,95,94,59,53,6,92,1
Student 28,60,80,81,86,80,82,1,87,0
Student 29,74,78,63,100,55,95,6,50,1
Student 30,98,63,82,53,61,64,5,70,0
Student 31,57,100,50,94,92,71,2,74,0
Student 32,98,73,79,88,84,95,5,57,1
Student 33,71,89,99,75,87,57,8,84,0
Student 34,90,86,88,88,71,84,8,86,0
Student 35,55,81,80,77,54,91,2,60,0
Student 36,61,99,88,62,72,95,7,98,0
Student 37,82,93,92,82,76,97,2,90,0
Student 38,92,66,69,90,85,65,7,67,0
Student 39,73,91,79,56,57,66,1,81,1
Student 40,100,69,96,98,73,97,8,78,0
Student 41,66,65,53,98,99,65,6,58,1
Student 42,76,64,53,65,68,66,2,71,1
Student 43,54,84,74,64,56,71,2,79,1
Student 44,61,97,53,50,56,97,3,62,1
Student 45,57,79,53,53,62,73,8,65,0
Student 46,84,80,85,72,57,70,5,68,1
Student 47,99,82,98,79,50,61,7,75,0
Student 48,95,72,67,85,96,52,5,56,1
Student 49,91,53,85,81,77,59,6,56,1
Student 50,50,86,98,62,77,54,5,97,1
Student 51,55,50,76,75,66,84,1,95,1
Student 52,53,91,96,51,97,52,7,63,1
Student 53,90,91,70,66,76,57,5,81,0
Student 54,69,65,65,100,56,97,7,95,1
Student 55,68,59,54,66,59,54,1,93,1
